354269	West Japan Railway Company
3560[0-9][0-9]	BC Card
356210	HSBC
356239	Bank of East Asia
356296	Shinhan Card
356297	Shinhan Card
3563[0-9][0-9]	BC Card
356316	NH Card
356317	NH Card
3565[0-9][0-9]	BC Card
356800	Korea Exchange Bank
356801	Korea Exchange Bank
356803	Korea Exchange Bank
356804	Korea Exchange Bank
356820	Woori Bank BC Card
356835	Bank of China
356895	China Construction Bank
356900	Shinhan Card
356901	Shinhan Card
356902	Shinhan Card
356910	Kookmin Bank
356911	Kookmin Bank
356912	Kookmin Bank
356914	Lotte Card
356915	Lotte Card
356916	Lotte Card
358413	AEON Credit Service
358419	AEON Credit Service
358761	Famima Credit Corporation
3600[0-9][0-9]	Diners Club International Credit Card
3614[0-9][0-9]	Diners Club International Credit Card
3616[0-9][0-9]	Diners Club International Credit Card
3617[0-9][0-9]	Diners Club International Credit Card
3633[0-9][0-9]	Diners Club International Credit Card
3634[0-9][0-9]	Diners Club International Credit Card
3635[0-9][0-9]	Diners Club International Credit Card
3640[0-9][0-9]	Diners Club International Credit Card
3641[0-9][0-9]	Diners Club International Credit Card
3643[0-9][0-9]	Diners Club International Credit Card
3648[0-9][0-9]	Diners Club International Credit Card
3670[0-9][0-9]	Diners Club International Credit Card
337941	Bank Millennium
370266	American Express
3712[0-9][0-9]	American Express
3713[0-9][0-9]	American Express
3715[0-9][0-9]	American Express
3717[0-9][0-9]	American Express
3723[0-9][0-9]	American Express
372301	American Express
372395	American Express
372550	American Express
3727[0-9][0-9]	American Express
372734	American Express
372741	American Express
372888	American Express
372863	American Express
3732[0-9][0-9]	American Express
373275	American Express
3733[0-9][0-9]	American Express
3735[0-9][0-9]	American Express
3742[0-9][0-9]	American Express
374283	American Express
374288	American Express
374289	American Express
3743[0-9][0-9]	American Express
374314	Bank of America
374322	Bank of America
374326	American Express
374328	American Express
374345	Citibank
374350	Citibank
3745[0-9][0-9]	American Express
374604	American Express
374614	American Express
374622	American Express
374654	American Express
374660	American Express
374661	American Express
374671	American Express
374691	American Express
374693	American Express
374716	FIA Card Services
374801	American Express
374970	American Express
374996	American Express
3750[0-9][0-9]	American Express
3751[0-9][0-9]	American Express
375142	American Express
3752[0-9][0-9]	American Express
3753[0-9][0-9]	American Express
3754150	Commonwealth Bank of Australia
3754151	Commonwealth Bank of Australia
3754155	Commonwealth Bank of Australia
3754165	Commonwealth Bank of Australia
3755490	Swedbank
3755492	Swedbank
375622	Garanti Bank
375628	Garanti Bank
375790	American Express
3758[0-9][0-9]	American Express
3759[0-9][0-9]	American Express
3760[0-9][0-9]	American Express
376211	American Express
3763[0-9][0-9]	American Express
376317	UOB
3764[0-9][0-9]	American Express
3766[0-9][0-9]	American Express, Platinum, Sri Lanka
3767[0-9][0-9]	American Express
376966	China CITIC Bank
376968	China CITIC Bank
370286	China Merchants Bank
3770[0-9][0-9]	Lloyds TSB
377032	Lloyds TSB
377064	Lloyds TSB
377100	American Express
377130	MBNA Europe Bank (Bank of America)
377165	Citibank (Hong Kong)
3772[0-9][0-9]	American Express
377311	MBNA Europe Bank (Bank of America)
377311	MBNA Europe Bank (Bank of America)
377441	American Express
377445	American Express
377687	Lloyds TSB
377705	American Express Australia Limited
377826	Banco Santander
377878	National Australia Bank
3797[0-9][0-9]	American Express
384100	Hipercard by Ita? Unibanco (BR)
384140	Hipercard by Ita? Unibanco (BR)
384160	Hipercard by Ita? Unibanco (BR)
400115	Visa Electron Barclays
400121	Electron IRL
400273	Bank of Palestine
400344	CapitalOne Platinum
400610	META Bank, (Rewards 660 Visa) Credit Limit Between $200 & $2000
40083[7-9]	Electron GWK Bank NV
400975	Citi Bank Hong Kong
400917	Visa Infinite by Citibank Peru
400937	Bank of China Great Wall International Card Corporate (CN)
400938	Bank of China Great Wall International Card Corporate Gold (CN)
400941	Bank of China Great Wall International Card (CN)
400942	Bank of China Great Wall International Card Gold (CN)
400944	Associated Bank (Citibank (South Dakota) N.A.)
401106	McCoy Federal Credit Union VISA debit card
401171	Delta Community Credit Union Visa
401180	Suntrust Bank Debit Card
4013[0-9][0-9]	Visa Debit Card
401343	Tesco Bank Bonus Visa
401344	Tesco Bank Clubcard Visa
4016[0-9][0-9]	Citybank (El Salvador)
401612	Banco Tequendama Visa CREDIT PLATINUM CARD (Colombia)
401773	Electron IRL
401786	Deutsche Postbank AG (Germany); Plus ATM Card
401795	NAB Visa Debit Card (Australia)
4018[0-9][0-9]	1st Financial Bank USA
4019[0-9][0-9]	Wachovia Bank Visa
402360	Visa Electron from Poste Italiane (Italy) brand name "PostePay", Max. balance 3000
402367	Hana SK Card (KR) Visa Platinum Check Card
402396	Vanquis Bank Visa credit card (UK)
4026[0-9][0-9]	Nordea Bank, VISA Electron
4028[0-9][0-9]	HSBC Philippine Airlines Mabuhay Miles
402802	Handelsbanken Visa Credit/Debit Card
402856	Citi Bank (Hong Kong)
4029[0-9][0-9]	TD Bank Debit Card
403216	Navy Federal Credit Union
4035[0-9][0-9]	Visa Debit France/Canada
403594	credit cards issued by Deutsche Postbank AG (Germany)
403675	Visa Classic Debit Krasnodar Regional Investment Bank
403677	Visa Electron Debit Krasnodar Regional Investment Bank
4037[0-9][0-9]	US Bank Visa (USA)
403766	U.S. Bank National Association, Visa Credit Card
403897	Avangard Bank, Visa Credit/Debit Card
404195	MetaBank, Visa Prepaid Card (USA)
404137	Greater Building Society Visa Debit Card (Australia)
404146	National Development Bank Visa Classic (Sri Lanka)
404159	China CITIC Bank Visa Platinum (China)
404527	Cabela's World's Foremost Bank
404586	Open Bank, Russia
404645	US Bank Visa Debit Card (USA)
405623	Bank Respublika (Azerbaijan)
405625	OGPF Bank (Ot Gusaa Posle Fostata) Debit Electron Cyprus
405670	BRE Bank (mBank) Visa Electron Debit Card (Poland)
405851	Shinhan Card Visa prepaid card (KR)
405856	Shinhan Card Visa prepaid card (KR)
405803	Standard Chartered (Hong Kong)
405919	HSBC Bank A.S. Debit Electron (Turkey)
4060[0-9][0-9]	CHASE Visa Debit/Credit
406366	Guangdong Development Bank China Southern Visa UnionPay Duo Credit Card
406632	VISA Debit
406669	Visa,Banco Bradesco, BRAZIL
406707	Visa, Bank24.ru, Russia
406742	Entropay Virtual Visa Card USD
406774	Visa Platinum credit card, Banco Interamericano de Finanzas
407220	ANZ Frequent Flyer Gold Visa Card
407264	Heritage Bank VISA (Australia)
407441	CitiBank Patriot Memory Promo Debit Card
407444	CSL Plasma and Other Various Plasma Donation Centers
407714	Visa Gift Card
4082[0-9][0-9]	Visa credit card
408461	Visa
408586	TD U.S. Dollar
409311	Branch Banking & Trust Classic Credit Card USA
409617	First Czech-Russian bank, Russia, Visa Gold Czech Airlines
409908	Visa(card brand), Debit(card type), Classic(card level), Regional federal credit union (=Regional F.C.U,bank name)
410162	Entropay Virtual Visa
410489	Bancorp prepaid (USA)
41050[4-6]	Bank Negara Indonesia (ID) Visa Credit Card
41063[5-9]	Columbus Bank & Trust Company, (Aspire Visa Gold Card)
410651	SR-BANK1 (NOR)
410654	Ithala Limited (South Africa) VISA Electron
410773	CRDB Bank (Tanzania) VISA Debit Card
410894	Branch Banking and Trust (BB&T)
410897	The Golden 1 Credit Union (US) Visa Classic
411016	BANESCO (former BancUnion Visa). Visa Platinum
411298	Lloyds TSB (UK)
411636	Irish Life & Permanent PLC Visa Debit Classic
4117[0-9][0-9]	Bank of America (US; formerly Fleet) VISA Debit Card
411773	Bank of America (US; formerly Fleet) Temporary VISA Debit Card (Embossed name
411911	DBS (SG)
411945	Masterbank (Russia), Visa Infinite
411986	Banca Transilvania
412134	Pennsylvania State Employees Credit Union (PSECU) Credit Card
412174	Capital One Platinum
412266	TD Bank Gift Card
4124[0-9][0-9]	Chase Banking Debit Card
412722	The International Bank of Azerbaijan
4128[0-9][0-9]	Citibank (US) Platium Select Dividends VISA Credit Card[citation needed]
41292[1-3]	Visa Electron
412983	MBNA (Europe) University of Cambridge VISA Credit Card
41298[4-5]	Sovereign Bank
4130[0-9][0-9]	Visa Electron
413002	Ally Bank (US) Visa Classic Check Card
413433	Sovereign Bank Business Check Card
413718	Bank Mandiri
414049	Banca Transilvania
414051	Bank of Georgia (GE)
414099	Budapest Bank, Visa Electron, Hungary
4143[0-9][0-9]	Capital One
414588	Guaranty Bank Visa Debit card USA
